,Artist Names,Songs1,Songs2,Songs3
0,Dua Lipa,Levitating,Don't Start Now,New Rules
1,Billie Eilish,Bad Guy,Therefore I Am,When The Party's Over
2,Harry Styles,As It Was,Adore You,Watermelon Sugar
3,Olivia Rodrigo,Drivers License,Good 4 U,Deja Vu
4,The Weeknd,Blinding Lights,Can't Feel My Face,Starboy
5,Post Malone,Circles,Rockstar,Sunflower
6,Doja Cat,Say So,Streets,Woman
7,Lizzo,Truth Hurts,Good as Hell,About Damn Time
8,SZA,Kill Bill,The Weekend,Good Days
9,Lil Nas X,Old Town Road,Montero,Industry Baby
